simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
6121,1.3855,16.73,60.2,0.05,0.002986,0.016,7.74,1
6134,1.0845,21.27,76.6,0.05193,0.002935,0.01949,9.81,1
6147,1.0995,21.24,76.5,0.05178,0.003303,0.02107,8.82,1
6160,1.1115,20.86,75.1,0.05265,0.003659,0.01877,10.13,1
6173,1.0035,23.13,83.3,0.05345,0.003256,0.02072,10.87,1
6186,1.117,20.74,74.7,0.05082,0.003526,0.01858,9.28,1
6199,0.9055,25.76,92.8,0.05327,0.002824,0.02029,10.71,1
6212,1.155,20.01,72.0,0.0531,0.003384,0.01936,10.12,1
6225,1.1465,20.0,72.0,0.05268,0.003188,0.01744,10.06,1
6238,1.042,22.52,81.1,0.05109,0.003328,0.01586,10.59,1
6251,1.268,18.31,65.9,0.05218,0.002648,0.02135,7.15,1
6264,1.1565,19.82,71.4,0.05113,0.00312,0.02535,9.8,1
6277,1.289,17.97,64.7,0.05273,0.003315,0.01977,8.86,1
6290,1.033,22.63,81.5,0.05205,0.003374,0.02146,9.57,1
6303,0.95,24.3,87.5,0.05099,0.003309,0.01901,11.36,1
6316,1.18,19.53,70.3,0.05331,0.003288,0.0267,9.47,1
6329,1.1245,20.47,73.7,0.05035,0.002916,0.02435,9.09,1
6342,1.0095,23.05,83.0,0.05066,0.003267,0.02421,9.67,1
6355,1.1525,20.49,73.8,0.05135,0.003469,0.02127,10.02,1
6368,1.111,20.97,75.5,0.05277,0.003124,0.01923,10.53,1
6381,1.0035,22.99,82.8,0.05154,0.00311,0.01898,10.35,1
6394,1.129,20.67,74.4,0.05353,0.003357,0.02028,9.94,1
6407,1.0745,21.43,77.1,0.05198,0.003028,0.01597,10.01,1
6420,0.8935,25.84,93.0,0.05182,0.003274,0.02434,11.64,1
6433,1.1405,20.2,72.7,0.05212,0.003231,0.02327,10.02,1
6446,1.1365,20.53,73.9,0.05114,0.003418,0.01732,9.97,1
6459,1.1595,19.89,71.6,0.05307,0.003164,0.01761,9.22,1
6472,1.0605,21.61,77.8,0.051,0.003363,0.02127,10.65,1
6485,1.314,17.66,63.6,0.05131,0.003589,0.0176,9.76,1
6498,1.113,20.88,75.2,0.05049,0.003213,0.01453,8.76,1
6511,1.271,18.09,65.1,0.05209,0.003249,0.02018,10.24,1
6524,0.937,24.44,88.0,0.0526,0.003022,0.01914,11.82,1
6537,1.163,20.12,72.4,0.05066,0.003658,0.0206,8.78,1
6550,1.0385,22.2,79.9,0.05145,0.00301,0.01829,10.49,1
6563,1.039,22.5,81.0,0.05288,0.003519,0.01775,11.1,1
6576,1.17,19.68,70.9,0.05303,0.003156,0.01804,9.58,1
6589,1.1725,19.65,70.7,0.05092,0.003161,0.01953,10.44,1
6602,1.05,22.23,80.0,0.05011,0.003389,0.02048,9.15,1
6615,1.02,22.88,82.4,0.05144,0.003674,0.02242,9.28,1
6628,1.1165,20.69,74.5,0.05106,0.003091,0.0159,8.9,1
6641,1.0385,22.34,80.4,0.05344,0.003366,0.02267,10.88,1
6654,1.113,20.54,74.0,0.05197,0.00313,0.01869,10.4,1
6667,0.9425,25.0,90.0,0.05224,0.003176,0.02024,10.99,1
6680,1.3515,17.35,62.5,0.05122,0.003414,0.02023,7.31,1
6693,1.1705,19.74,71.1,0.05132,0.003415,0.02546,9.84,1
6706,0.9835,23.79,85.7,0.05272,0.003505,0.02283,12.75,1
6719,1.063,21.73,78.2,0.05334,0.003258,0.0271,9.97,1
6732,1.427,16.41,59.1,0.05189,0.003683,0.01991,8.95,1
6745,1.0935,20.89,75.2,0.05199,0.003221,0.0197,10.79,1
6758,1.001,23.24,83.7,0.05335,0.003362,0.01439,10.79,1
6771,1.1225,20.42,73.5,0.05079,0.003265,0.01828,10.18,1
6784,1.0765,21.47,77.3,0.05121,0.002941,0.01756,9.09,1
6797,1.1125,20.88,75.2,0.05087,0.003057,0.02243,10.1,1
6810,0.9755,23.68,85.3,0.05421,0.00347,0.01912,11.74,1
6823,1.3155,17.54,63.1,0.05331,0.003001,0.02795,9.32,1
6836,1.087,21.22,76.4,0.05263,0.003046,0.01853,9.53,1
6849,1.0305,22.44,80.8,0.05202,0.003761,0.01915,10.69,1
